SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Drigg,,RV10,UMK-Unpasteurised Milk,14/06/2023,23-1091,NA,NA,3.7±4.1,21±3.0,NA,NA,<0.026,NA,NA,NA,NA,NA,NA,<0.000066,<0.21,0.000024±0.000018,NA,0.000035±0.000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,RV10,UMK-Unpasteurised Milk,19/07/2023,23-1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.5,NA,NA,NA,NA,<0.02,NA,<0.04,<0.08,<0.11,<0.05,<0.23,<0.03,NA,<0.06,NA,<0.02,0.09±0.04,<0.20,<0.07,<0.12,NA
Drigg,,RV10,UMK-Unpasteurised Milk,09/08/2023,23-1416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.6,NA,NA,NA,NA,<0.04,NA,<0.05,<0.06,<0.08,<0.05,<0.35,<0.05,NA,<0.09,NA,<0.04,<0.04,<0.22,<0.13,<0.10,NA
Drigg,,RV10,UMK-Unpasteurised Milk,15/08/2023,23-1777,NA,NA,<1.5,14±3.6,NA,NA,<0.028,NA,NA,NA,NA,NA,NA,<0.000042,<0.20,0.000017±0.000014,NA,<0.000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,RV10,UMK-Unpasteurised Milk,20/09/2023,23-1768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.6,NA,NA,NA,NA,<0.04,NA,<0.05,<0.04,<0.07,<0.04,<0.35,<0.05,NA,<0.09,NA,<0.04,<0.04,<0.21,<0.13,<0.10,NA
Drigg,,RV10,UMK-Unpasteurised Milk,11/10/2023,23-2043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.5,NA,NA,NA,NA,<0.02,NA,<0.04,<0.08,<0.08,<0.08,<0.23,<0.03,NA,<0.06,NA,<0.02,0.06±0.04,<0.21,<0.07,<0.12,NA
Drigg,,RV10,UMK-Unpasteurised Milk,08/11/2023,23-2254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46±3.7,NA,NA,NA,NA,<0.06,NA,<0.08,<0.30,<0.29,<0.11,<0.52,<0.08,NA,<0.13,NA,<0.08,<0.06,<0.25,<0.21,<0.12,NA
Drigg,,RV10,UMK-Unpasteurised Milk,13/12/2023,23-2469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±4.1,NA,NA,NA,NA,<0.07,NA,<0.07,<0.08,<0.15,<0.07,<0.53,<0.08,NA,<0.13,NA,<0.05,<0.06,<0.25,<0.22,<0.12,NA
Drigg,,RV10,UMK-Unpasteurised Milk,12/01/2024,23-2555,NA,NA,<1.6,23±6.0,NA,NA,<0.025,NA,NA,NA,NA,NA,NA,<0.000043,<0.18,0.000017±0.000018,NA,<0.000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,RV10,UMK-Unpasteurised Milk,23/01/2024,23-2580,NA,NA,NA,NA,NA,NA,NA,<0.0091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dungeness,,CROP,GRS - Grass,10/11/2023,23-2278,NA,NA,<25,14±3.3,NA,2.6±0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36±3.5,NA,NA,NA,NA,<0.08,NA,<0.11,<0.33,<0.28,<0.23,<0.68,<0.11,NA,<0.15,NA,<0.06,<0.12,<0.35,<0.24,<0.14,NA
Dungeness,,CROP,POT - Potato,10/11/2023,23-2277,NA,NA,<25,25±6.4,NA,<0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140±9.6,NA,NA,NA,NA,<0.05,NA,<0.06,<0.07,<0.11,<0.06,<0.43,<0.07,NA,<0.11,NA,<0.06,<0.05,<0.29,<0.18,<0.14,NA
Dungeness,,DU85,UMK-Unpasteurised Milk,15/02/2023,23-542,NA,NA,<1.2,21±2.9,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±3.7,NA,NA,NA,NA,<0.04,NA,<0.06,<0.13,<0.12,<0.11,<0.36,<0.05,NA,<0.08,NA,<0.03,<0.03,<0.42,<0.13,<0.11,NA
Dungeness,,DU85,UMK-Unpasteurised Milk,21/06/2023,23-1125,NA,NA,<1.1,18±3.1,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±3.6,NA,NA,NA,NA,<0.04,NA,<0.05,<0.05,<0.18,<0.06,<0.32,<0.05,NA,<0.08,NA,<0.04,<0.03,<0.22,<0.25,<0.12,NA
Dungeness,,DU85,UMK-Unpasteurised Milk,15/08/2023,23-1928,NA,NA,<1.7,14±4.9,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±3.7,NA,NA,NA,NA,<0.04,NA,<0.07,<0.15,<0.13,<0.13,<0.36,<0.05,NA,<0.09,NA,<0.03,<0.04,<0.36,<0.13,<0.19,NA
